Series_Title,Genre,IMDB_Rating
Akira,"Animation, Action, Sci-Fi",8
The Princess Bride,"Adventure, Family, Fantasy",8
Der Himmel über Berlin,"Drama, Fantasy, Romance",8
Au revoir les enfants,"Drama, War",8
Tenkû no shiro Rapyuta,"Animation, Adventure, Drama",8
The Terminator,"Action, Sci-Fi",8
Gandhi,"Biography, Drama, History",8
Kagemusha,"Drama, History, War",8
Being There,"Comedy, Drama",8
Annie Hall,"Comedy, Romance",8
Jaws,"Adventure, Thriller",8
Dog Day Afternoon,"Biography, Crime, Drama",8
Young Frankenstein,Comedy,8
Papillon,"Biography, Crime, Drama",8
The Exorcist,Horror,8
Sleuth,"Mystery, Thriller",8
The Last Picture Show,"Drama, Romance",8
Fiddler on the Roof,"Drama, Family, Musical",8
Il conformista,Drama,8
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",8
Rosemary's Baby,"Drama, Horror",8
Planet of the Apes,"Adventure, Sci-Fi",8
The Graduate,"Comedy, Drama, Romance",8
Who's Afraid of Virginia Woolf?,Drama,8
The Sound of Music,"Biography, Drama, Family",8
Doctor Zhivago,"Drama, Romance, War",8
Per un pugno di dollari,"Action, Drama, Western",8
8½,Drama,8
Vivre sa vie: Film en douze tableaux,Drama,8
The Hustler,"Drama, Sport",8
La dolce vita,"Comedy, Drama",8
Rio Bravo,"Action, Drama, Western",8
Anatomy of a Murder,"Crime, Drama, Mystery",8
Touch of Evil,"Crime, Drama, Film-Noir",8
Cat on a Hot Tin Roof,Drama,8
Sweet Smell of Success,"Drama, Film-Noir",8
The Killing,"Crime, Drama, Film-Noir",8
The Night of the Hunter,"Crime, Drama, Film-Noir",8
La Strada,Drama,8
Les diaboliques,"Crime, Drama, Horror",8
Stalag 17,"Comedy, Drama, War",8
Roman Holiday,"Comedy, Romance",8
A Streetcar Named Desire,Drama,8
In a Lonely Place,"Drama, Film-Noir, Mystery",8
Kind Hearts and Coronets,"Comedy, Crime",8
Rope,"Crime, Drama, Mystery",8
Out of the Past,"Crime, Drama, Film-Noir",8
Brief Encounter,"Drama, Romance",8
Laura,"Drama, Film-Noir, Mystery",8
The Best Years of Our Lives,"Drama, Romance, War",8
Arsenic and Old Lace,"Comedy, Crime, Thriller",8
The Maltese Falcon,"Film-Noir, Mystery",8
The Grapes of Wrath,"Drama, History",8
The Wizard of Oz,"Adventure, Family, Fantasy",8
La règle du jeu,"Comedy, Drama",8
The Thin Man,"Comedy, Crime, Mystery",8
All Quiet on the Western Front,"Drama, War",8
Bronenosets Potemkin,"Drama, History, Thriller",8
Knives Out,"Comedy, Crime, Drama",7.9
Dil Bechara,"Comedy, Drama, Romance",7.9
Manbiki kazoku,"Crime, Drama",7.9
Marriage Story,"Comedy, Drama, Romance",7.9
Call Me by Your Name,"Drama, Romance",7.9
"I, Daniel Blake",Drama,7.9
Isle of Dogs,"Animation, Adventure, Comedy",7.9
Hunt for the Wilderpeople,"Adventure, Comedy, Drama",7.9
Captain Fantastic,"Comedy, Drama",7.9
Sing Street,"Comedy, Drama, Music",7.9
Thor: Ragnarok,"Action, Adventure, Comedy",7.9
Nightcrawler,"Crime, Drama, Thriller",7.9
Jojo Rabbit,"Comedy, Drama, War",7.9
Arrival,"Drama, Sci-Fi",7.9
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",7.9
Before Midnight,"Drama, Romance",7.9
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",7.9
Bir Zamanlar Anadolu'da,"Crime, Drama",7.9
The Artist,"Comedy, Drama, Romance",7.9
Edge of Tomorrow,"Action, Adventure, Sci-Fi",7.9
Amour,"Drama, Romance",7.9
The Irishman,"Biography, Crime, Drama",7.9
Un prophète,"Crime, Drama",7.9
Moon,"Drama, Mystery, Sci-Fi",7.9
Låt den rätte komma in,"Crime, Drama, Fantasy",7.9
District 9,"Action, Sci-Fi, Thriller",7.9
The Wrestler,"Drama, Sport",7.9
Jab We Met,"Comedy, Drama, Romance",7.9
Boyhood,Drama,7.9
"4 luni, 3 saptamâni si 2 zile",Drama,7.9
